"CO_CURSO";"CO_GRUPO";"NU_ANO";"NT_GER";"TP_SEXO";"NU_IDADE";"QE_I02";"QE_I08";"QE_I09";"QE_I10";"QE_I11";"QE_I15";"QE_I23"
50220;22;2015;28,9;"F";"28";"A";"D";"F";"E";"H";"A";"B"
50223;804;2015;NA;"M";"27";"C";"A";"D";"E";"";"D";"C"
50225;22;2022;32;"F";"21";"A";"B";"B";"E";"";"A";"E"
50227;29;2012;43,5;"M";"29";"C";"D";"C";"B";"A";"A";"C"
50237;1;2012;NA;"F";"33";"";"";"";"";"";"";""
50241;804;2012;33,1;"F";"24";"A";"C";"B";"E";"";"F";"A"
50257;803;2012;42,4;"F";"32";"A";"C";"A";"D";"";"A";""
50273;804;2012;NA;"F";"25";"A";"C";"";"E";"E";"A";"D"
50274;803;2015;55,4;"F";"24";"A";"";"D";"C";"J";"A";"B"
50283;67;2012;NA;"F";"34";"A";"D";"B";"E";"E";"";"C"
50292;29;2012;41,5;"F";"47";"B";"B";"D";"E";"";"A";"B"
50294;22;2015;14,6;"M";"23";"A";"F";"C";"E";"B";"A";"B"
50306;26;2015;NA;"M";"27";"";"B";"B";"D";"E";"A";"C"
50311;804;2018;53,9;"M";"23";"A";"E";"C";"B";"";"A";"B"
50312;22;2012;26,3;"F";"39";"C";"A";"B";"A";"";"D";"B"
50323;67;2012;NA;"F";"22";"A";"D";"B";"E";"F";"A";""
50384;804;2018;51,1;"F";"25";"A";"F";"C";"E";"";"A";"B"
50387;2;2015;45,2;"M";"50";"A";"B";"B";"A";"";"F";"D"
50394;1;2012;NA;"F";"22";"C";"D";"C";"D";"B";"A";"B"
50422;1;2012;NA;"F";"26";"";"";"";"";"";"";""
50435;67;2018;NA;"F";"30";"D";"C";"C";"E";"B";"";"B"
50456;29;2015;NA;"F";"28";"A";"A";"A";"C";"A";"";""
50500;804;2012;25;"F";"22";"C";"G";"C";"B";"B";"A";"B"
50538;18;2018;31,3;"F";"22";"A";"A";"B";"A";"B";"A";"B"
50541;803;2012;52,1;"F";"23";"C";"C";"D";"E";"F";"A";""
50570;1;2018;29,4;"M";"23";"A";"B";"C";"A";"C";"A";"D"
50574;1;2022;57,6;"F";"32";"A";"D";"D";"D";"C";"A";"B"
50576;1;2018;53,8;"F";"27";"A";"B";"F";"D";"B";"A";"B"
50578;2;2018;42,3;"F";"41";"";"B";"B";"D";"I";"A";"B"
50580;804;2012;18,9;"M";"47";"A";"E";"B";"E";"";"A";"B"
50584;18;2022;88,1;"F";"45";"A";"F";"C";"A";"I";"A";"D"
50586;2;2022;NA;"M";"38";"A";"";"";"";"B";"A";"D"
50594;2;2015;55,1;"M";"23";"A";"C";"E";"E";"B";"A";"B"
50596;18;2022;NA;"F";"46";"A";"C";"C";"A";"B";"A";"E"
50598;29;2012;48,7;"F";"36";"A";"E";"C";"C";"B";"A";"B"
50611;18;2022;90,5;"F";"22";"B";"A";"C";"E";"C";"E";"E"
50648;2;2012;51,5;"F";"22";"C";"C";"C";"A";"B";"A";""
50666;2;2012;22,4;"M";"44";"A";"D";"";"";"F";"";""
50672;2;2012;42,9;"M";"41";"C";"";"";"E";"F";"";""
50674;2;2012;NA;"M";"37";"C";"B";"B";"D";"";"A";""
50684;803;2015;47,5;"F";"42";"D";"E";"A";"E";"A";"A";"B"
50716;1;2018;28,7;"F";"31";"A";"D";"D";"E";"F";"A";"B"
50725;1;2015;34;"M";"31";"A";"C";"F";"E";"E";"A";"B"
50767;804;2018;34,7;"F";"41";"A";"B";"E";"A";"E";"A";""
50773;803;2015;47,8;"F";"21";"C";"G";"C";"C";"B";"A";"B"
50774;804;2015;25,8;"M";"29";"A";"";"A";"";"";"";"B"
50779;803;2022;NA;"M";"21";"D";"B";"D";"A";"B";"";"B"
50780;804;2012;70,1;"M";"36";"A";"A";"C";"E";"";"A";"D"
50781;22;2015;NA;"M";"28";"A";"B";"D";"A";"F";"F";"B"
50783;22;2015;39,4;"F";"22";"D";"C";"B";"E";"F";"A";"B"
50785;22;2012;45;"F";"29";"A";"D";"E";"E";"I";"A";"A"
50787;22;2018;41,6;"F";"22";"D";"C";"E";"E";"I";"A";"B"
50789;22;2015;40,5;"M";"22";"D";"E";"E";"E";"";"A";"C"
50852;803;2022;58;"M";"29";"A";"C";"C";"D";"A";"D";"D"
50853;804;2018;35,5;"M";"31";"";"C";"F";"E";"A";"";"B"
50867;26;2015;62,9;"F";"35";"A";"E";"C";"";"";"A";"C"
50868;26;2012;27,5;"F";"22";"A";"F";"B";"E";"B";"A";"B"
50870;26;2012;49,1;"M";"26";"A";"G";"";"A";"";"";"B"
50872;26;2015;50,1;"F";"28";"A";"C";"C";"C";"";"A";"B"
50876;26;2012;51,6;"F";"21";"A";"D";"C";"C";"";"D";"B"
50901;1;2012;29,7;"F";"24";"";"D";"C";"E";"";"A";"C"
50902;1;2012;19,2;"M";"23";"D";"B";"E";"E";"A";"";"B"
50905;22;2018;22,8;"F";"28";"B";"D";"E";"E";"C";"A";"A"
50913;803;2012;46,1;"F";"23";"C";"B";"A";"C";"B";"A";"B"
50918;29;2012;NA;"F";"32";"A";"C";"";"B";"";"A";"B"
50953;1;2012;40,3;"F";"24";"B";"C";"D";"E";"H";"A";"B"
50977;2;2018;28,7;"M";"27";"B";"G";"F";"E";"";"";"C"
50983;1;2018;40,3;"M";"23";"D";"G";"E";"E";"G";"A";"B"
51018;2;2012;47,9;"F";"36";"A";"F";"D";"D";"";"A";"B"
51037;1;2012;51,5;"M";"27";"A";"F";"";"E";"";"A";"C"
51048;1;2015;49,9;"F";"29";"A";"";"F";"";"C";"A";"A"
51063;1;2012;40,4;"M";"23";"";"C";"";"D";"";"A";""
51083;1;2015;40,4;"M";"24";"A";"";"E";"E";"E";"A";"B"
51111;1;2015;26,4;"F";"28";"";"E";"E";"";"E";"A";"B"
51125;2;2018;28,8;"M";"29";"D";"D";"C";"A";"B";"A";"D"
51129;22;2018;40,8;"F";"34";"C";"E";"D";"E";"F";"A";"C"
51153;1;2015;36;"F";"31";"D";"B";"E";"E";"B";"A";"C"
51158;22;2018;0;"F";"26";"A";"F";"E";"D";"E";"C";"B"
51167;1;2012;58,9;"M";"25";"A";"B";"E";"E";"C";"D";"B"
51168;29;2012;38,8;"M";"23";"A";"C";"A";"A";"E";"D";""
51175;1;2015;34,3;"F";"21";"A";"F";"B";"E";"";"A";"C"
51178;1;2015;28,5;"F";"22";"A";"D";"C";"E";"G";"C";"C"
51184;22;2022;52,1;"M";"34";"A";"A";"B";"E";"I";"A";"C"
51198;18;2012;NA;"";"";"";"";"";"";"";"";""
51208;803;2012;31,2;"M";"20";"A";"E";"B";"A";"";"A";"B"
51212;1;2018;57,5;"F";"37";"A";"B";"E";"D";"H";"A";"B"
51213;1;2012;NA;"";"";"";"";"";"";"";"";""
51220;22;2018;35,6;"F";"21";"A";"E";"B";"E";"H";"A";""
51222;1;2018;25,4;"F";"25";"A";"B";"E";"E";"A";"D";"B"
51251;1;2012;29;"M";"23";"B";"B";"";"E";"B";"";"B"
51260;1;2015;34,6;"F";"24";"D";"D";"D";"E";"";"A";"C"
51263;803;2012;45,9;"M";"22";"A";"E";"";"E";"";"";"B"
51275;1;2015;28;"F";"21";"A";"F";"C";"E";"";"A";"E"
51277;22;2015;40,3;"F";"25";"A";"G";"A";"E";"B";"A";""
51293;2;2015;67,1;"M";"61";"A";"E";"C";"A";"G";"A";"D"
51299;2;2018;36,4;"F";"39";"A";"F";"C";"A";"";"A";"D"
51314;1;2015;53,7;"M";"23";"D";"C";"A";"";"";"";"C"
51334;22;2012;24,7;"M";"25";"A";"B";"";"E";"H";"E";"E"
51373;2;2018;30,7;"F";"22";"";"A";"C";"E";"";"D";"D"
51377;22;2022;21,3;"F";"33";"D";"A";"";"E";"C";"E";""
51382;18;2018;47,5;"F";"23";"";"G";"A";"A";"";"A";"C"
51388;1;2012;57,4;"F";"26";"A";"E";"D";"E";"";"A";"D"
51391;22;2012;24,9;"F";"38";"D";"C";"E";"A";"";"A";"B"
51405;22;2015;26,9;"M";"22";"D";"B";"C";"";"H";"A";"B"
51442;1;2018;60,7;"M";"24";"A";"E";"D";"D";"";"A";"D"
51534;26;2018;23,6;"M";"23";"A";"F";"";"";"";"A";""
51535;26;2012;56,6;"F";"31";"";"F";"";"";"E";"A";"B"
51539;26;2012;44,5;"M";"25";"A";"E";"";"A";"B";"A";"C"
51540;26;2015;NA;"F";"22";"";"E";"B";"B";"";"";"C"
51541;29;2012;53,3;"F";"30";"";"";"B";"";"";"";""
51546;1;2012;39,5;"F";"34";"B";"B";"B";"C";"E";"C";"B"
51549;1;2015;48,5;"F";"46";"A";"E";"";"E";"B";"A";"D"
51552;29;2012;30,9;"F";"34";"";"F";"A";"";"";"";"B"
51611;1;2018;38,6;"F";"25";"D";"C";"B";"E";"B";"A";"C"
51615;22;2012;47,1;"F";"22";"A";"C";"E";"E";"B";"";"B"
51618;13;2015;33,2;"F";"20";"";"";"";"A";"";"A";"B"
51640;22;2015;37,5;"M";"34";"A";"E";"C";"E";"B";"A";"D"
51662;2;2012;63,5;"F";"34";"A";"A";"A";"C";"E";"";"E"
51664;2;2012;65,9;"F";"22";"A";"C";"B";"A";"E";"F";"B"
51666;1;2015;37,5;"M";"23";"B";"C";"F";"E";"B";"B";"B"
51670;2;2018;31,1;"F";"36";"B";"E";"B";"A";"E";"A";"B"
51672;2;2015;31;"F";"30";"";"D";"B";"D";"";"A";"C"
51674;2;2015;28,4;"M";"27";"A";"A";"C";"A";"B";"A";"B"
51676;2;2018;34,5;"F";"36";"A";"";"D";"A";"G";"A";"C"
51678;2;2015;43,9;"M";"33";"D";"C";"B";"";"B";"D";"D"
51680;1;2012;NA;"F";"28";"";"";"";"";"";"";""
51681;2;2018;NA;"F";"23";"A";"D";"B";"E";"B";"A";"B"
51687;2;2012;44,5;"F";"31";"C";"A";"E";"E";"J";"A";"C"
51694;1;2012;19,1;"M";"24";"A";"C";"D";"E";"J";"A";"B"
51711;803;2012;26,3;"M";"25";"C";"";"A";"";"";"";"B"
51713;22;2012;24,1;"F";"30";"C";"C";"B";"E";"A";"D";"B"
51719;1;2012;29,7;"M";"23";"";"C";"B";"E";"";"A";"B"
51752;22;2012;36,9;"M";"23";"C";"F";"";"A";"";"C";"B"
51761;29;2018;41,4;"M";"33";"B";"B";"C";"D";"F";"A";"B"
51764;1;2012;20,8;"F";"40";"C";"E";"";"A";"";"A";"C"
51770;22;2012;44,2;"M";"21";"C";"E";"D";"C";"D";"A";"B"
51803;13;2012;28,1;"M";"28";"A";"F";"";"E";"F";"E";"B"
51829;2;2015;NA;"F";"31";"D";"";"B";"C";"F";"A";"B"
51839;1;2015;41,3;"F";"22";"D";"C";"E";"";"B";"A";""
51876;22;2015;20,6;"M";"24";"C";"E";"A";"E";"C";"A";"B"
51885;1;2012;19,7;"M";"34";"A";"C";"D";"E";"F";"A";"C"
51918;1;2015;33,7;"M";"21";"A";"A";"D";"D";"G";"A";"C"
51922;1;2015;37;"F";"24";"A";"C";"";"E";"";"A";"C"
51942;1;2018;47,4;"F";"39";"A";"E";"F";"E";"A";"A";"C"
51946;803;2012;37,7;"M";"21";"C";"F";"A";"A";"A";"A";"E"
51987;26;2015;51,1;"M";"23";"";"G";"C";"E";"B";"A";"D"
51988;26;2012;NA;"M";"21";"B";"B";"B";"A";"B";"A";"C"
51990;26;2015;NA;"F";"22";"A";"B";"C";"E";"";"A";"B"
52013;1;2015;NA;"M";"21";"";"B";"D";"E";"";"A";""
52017;1;2012;30,1;"F";"34";"";"G";"B";"E";"";"A";""
52027;22;2012;13,1;"M";"31";"A";"D";"B";"E";"";"A";"A"
52040;1;2012;NA;"F";"25";"";"E";"B";"E";"B";"C";"B"
52071;2;2015;54,2;"F";"23";"A";"D";"C";"B";"B";"A";"B"
52073;18;2018;50,6;"F";"22";"A";"F";"C";"C";"H";"A";"E"
52125;18;2012;56,1;"F";"21";"A";"C";"B";"B";"";"A";""
52128;2;2022;NA;"M";"34";"A";"";"B";"A";"";"A";"C"
52130;1;2012;45,9;"M";"23";"F";"B";"F";"B";"";"A";"D"
52136;1;2022;74,6;"M";"31";"";"C";"C";"E";"A";"A";"A"
52141;18;2012;68,1;"M";"30";"A";"B";"A";"A";"A";"A";"B"
52185;18;2012;52,3;"F";"37";"A";"C";"C";"A";"I";"C";"C"
52192;804;2012;47;"F";"22";"A";"H";"C";"B";"B";"A";"B"
52238;2;2015;48,6;"F";"38";"C";"B";"C";"C";"A";"A";"B"
52245;803;2012;67,6;"M";"25";"C";"C";"B";"E";"";"";""
52246;1;2012;27,7;"F";"25";"C";"";"B";"E";"E";"";"B"
52251;22;2012;NA;"";"";"";"";"";"";"";"";""
52258;2;2022;25,9;"F";"24";"B";"";"C";"";"A";"A";"C"
52327;1;2015;46,9;"M";"27";"B";"B";"A";"E";"";"A";"B"
52352;1;2015;27,3;"F";"30";"B";"C";"E";"A";"B";"A";"B"
52445;22;2022;40;"M";"29";"C";"E";"E";"E";"";"A";""
52458;2;2022;34,7;"M";"22";"A";"F";"B";"B";"B";"A";"C"
52461;1;2022;42,6;"M";"23";"A";"B";"";"E";"C";"F";"C"
52630;18;2012;42,1;"F";"28";"";"";"C";"";"";"A";""
52753;1;2018;23,8;"M";"32";"";"B";"D";"D";"";"";"B"
52779;1;2012;30,1;"F";"32";"C";"B";"D";"D";"B";"B";"D"
52829;1;2012;37,2;"F";"23";"A";"E";"D";"E";"B";"A";"A"
52852;18;2018;19,7;"F";"51";"B";"F";"B";"";"";"A";"E"
52863;2;2015;52,5;"F";"31";"A";"C";"B";"E";"E";"A";"A"
52876;22;2022;43,6;"F";"22";"B";"C";"E";"A";"G";"A";"B"
52879;22;2012;34,2;"M";"27";"A";"C";"B";"";"E";"A";"B"
52901;1;2012;35,6;"F";"21";"D";"C";"F";"E";"H";"A";"A"
52904;2;2012;34,1;"M";"34";"D";"D";"C";"A";"B";"A";"E"
52906;2;2015;57,3;"F";"25";"D";"C";"C";"A";"B";"A";"B"
52908;1;2018;32,7;"M";"22";"A";"D";"C";"A";"";"A";"C"
52910;2;2012;44,2;"F";"37";"C";"B";"C";"E";"E";"A";"C"
52912;2;2012;38,4;"M";"24";"C";"E";"D";"E";"";"";""
52914;2;2018;39,3;"F";"23";"A";"G";"D";"C";"";"A";"B"
52917;2;2018;NA;"F";"23";"F";"C";"F";"E";"E";"";""
52919;2;2015;19,8;"M";"37";"A";"D";"C";"A";"H";"A";"E"
52921;2;2022;41,5;"F";"25";"B";"A";"C";"E";"E";"A";""
52925;2;2015;66,1;"M";"35";"C";"";"B";"E";"";"A";""
52929;2;2015;NA;"M";"36";"A";"";"C";"D";"";"A";"C"
52957;804;2012;43,8;"M";"23";"C";"D";"C";"E";"H";"";"B"
52958;803;2015;55,9;"F";"21";"A";"D";"D";"E";"B";"A";"B"
52975;1;2012;NA;"F";"22";"";"B";"C";"A";"H";"A";"B"
52986;1;2012;23,7;"F";"22";"C";"G";"";"E";"";"A";"D"
53027;2;2012;55;"F";"23";"D";"C";"C";"D";"B";"A";"B"
53037;2;2018;31,2;"M";"21";"A";"E";"F";"D";"";"A";"A"
53045;2;2018;37,6;"M";"35";"C";"F";"B";"D";"E";"A";"C"
53105;1;2012;11;"M";"25";"A";"C";"";"E";"";"A";""
53121;18;2012;44;"F";"48";"C";"B";"B";"D";"E";"A";"E"
53156;22;2015;41;"F";"30";"A";"B";"B";"A";"";"C";"B"
53190;1;2012;41,8;"M";"24";"D";"E";"D";"A";"E";"E";"B"
53205;1;2015;11;"F";"30";"A";"E";"C";"C";"B";"A";"A"
53290;1;2012;39,6;"F";"24";"A";"C";"D";"C";"E";"A";"B"
53295;804;2015;NA;"M";"27";"B";"";"";"E";"";"A";"C"
53296;1;2015;26,2;"F";"27";"B";"B";"E";"A";"E";"A";"C"
53301;1;2022;53,8;"F";"27";"B";"C";"C";"E";"C";"B";"B"
53323;29;2012;38,4;"F";"21";"A";"C";"";"C";"";"";"B"
53335;2;2012;68,2;"M";"26";"D";"";"";"A";"B";"C";"C"
53340;2;2012;NA;"F";"23";"A";"G";"C";"E";"I";"A";""
53344;2;2012;45,5;"M";"31";"D";"B";"C";"A";"";"A";"B"
53347;2;2015;26,4;"F";"27";"D";"F";"B";"";"";"A";"B"
53349;2;2012;55,8;"F";"36";"A";"C";"B";"C";"E";"A";"A"
53351;1;2012;44,7;"F";"25";"C";"G";"B";"D";"";"A";"C"
53353;2;2018;57,2;"F";"27";"A";"E";"D";"A";"";"";""
53367;18;2015;67;"F";"22";"A";"C";"C";"D";"E";"A";"B"
53370;18;2022;73,4;"F";"43";"A";"E";"E";"A";"E";"C";"C"
53375;29;2012;NA;"M";"19";"A";"C";"B";"E";"E";"A";"B"
53382;2;2018;36,6;"F";"22";"D";"F";"A";"B";"F";"A";"C"
53424;2;2022;63,3;"M";"24";"A";"B";"C";"A";"H";"A";"D"
53463;1;2012;49,2;"F";"24";"";"";"E";"E";"";"A";""
53486;1;2022;38,3;"M";"33";"C";"";"B";"";"";"A";""
53490;804;2015;23;"F";"24";"C";"";"A";"";"B";"D";"B"
53493;1;2015;35,9;"M";"23";"C";"B";"";"A";"A";"C";"C"
53495;22;2012;18,8;"F";"25";"C";"B";"D";"E";"";"C";"B"
53511;2;2012;32,6;"F";"23";"C";"";"C";"D";"H";"A";"D"
53522;1;2015;33,7;"F";"34";"A";"G";"B";"A";"B";"E";"B"
53531;2;2022;26,1;"F";"30";"A";"D";"B";"A";"";"C";"B"
53554;1;2015;50,1;"F";"40";"C";"A";"C";"E";"G";"A";"C"
53562;2;2015;52,9;"M";"34";"D";"";"C";"";"C";"A";"B"
53574;18;2018;61,3;"F";"28";"A";"D";"E";"E";"B";"A";"B"
53582;804;2015;55,7;"F";"24";"A";"C";"";"E";"E";"A";"D"
53589;1;2015;44,4;"F";"25";"A";"B";"A";"E";"G";"";"B"
53596;22;2012;48,8;"F";"24";"A";"C";"F";"E";"";"D";"A"
53628;18;2022;28,8;"F";"30";"A";"B";"B";"A";"F";"A";"C"
53635;2;2018;55,4;"M";"24";"A";"E";"";"A";"";"A";"B"
53646;2;2012;15,5;"F";"28";"A";"C";"B";"E";"H";"A";""
53794;1;2012;NA;"M";"25";"D";"A";"E";"E";"";"A";"B"
53860;1;2012;25;"M";"26";"A";"D";"D";"E";"";"A";"B"
53873;22;2012;37,6;"M";"22";"B";"D";"B";"E";"E";"D";"B"
53892;22;2018;29,4;"F";"23";"C";"D";"E";"E";"E";"A";"B"
53894;1;2015;43,2;"M";"21";"A";"B";"D";"E";"G";"D";"C"
53896;22;2012;37,5;"F";"";"B";"E";"B";"";"";"A";"B"
53900;1;2015;48,9;"M";"39";"A";"B";"C";"E";"E";"A";"C"
53904;1;2012;NA;"M";"31";"";"";"";"";"";"";""
53908;29;2012;34,8;"F";"26";"A";"C";"B";"E";"";"";"B"
53910;22;2018;21,4;"M";"26";"A";"C";"E";"E";"E";"E";"E"
53912;1;2015;33,9;"F";"22";"C";"F";"";"C";"B";"E";"B"
54042;2;2022;49,2;"M";"41";"A";"G";"E";"E";"B";"A";"D"
54058;1;2012;61,4;"M";"28";"A";"C";"A";"E";"F";"F";"A"
54075;804;2015;62,1;"M";"24";"C";"B";"E";"A";"";"A";"B"
54080;2;2012;21,4;"F";"33";"A";"C";"E";"A";"B";"A";"C"
54082;2;2022;41,9;"M";"23";"D";"D";"B";"A";"B";"E";"D"
54112;1;2012;32;"F";"27";"A";"";"C";"E";"E";"A";"B"
54162;26;2015;52,2;"F";"23";"A";"B";"A";"B";"H";"A";"B"
54163;26;2015;33;"M";"24";"A";"C";"B";"D";"A";"A";"B"
54164;2;2012;38,3;"F";"44";"E";"B";"E";"E";"E";"A";"C"
54213;1;2012;48,6;"F";"25";"C";"D";"F";"E";"";"A";"B"
54218;22;2012;NA;"F";"22";"C";"C";"B";"";"";"";"A"
54228;1;2018;32,9;"F";"21";"";"A";"E";"A";"H";"A";"B"
54243;81;2012;17,9;"F";"26";"A";"";"C";"D";"";"A";"B"
54256;1;2015;NA;"F";"25";"A";"C";"D";"E";"";"A";"C"
54260;1;2012;34,6;"M";"26";"A";"D";"E";"E";"D";"A";"B"
54262;1;2015;38,6;"M";"24";"A";"C";"C";"C";"H";"A";"B"
54266;22;2018;24,2;"M";"34";"";"B";"B";"E";"F";"";"C"
54268;804;2012;33,2;"F";"23";"A";"";"B";"C";"";"A";"B"
54272;1;2012;33,3;"F";"23";"";"D";"C";"E";"F";"D";"C"
54298;29;2012;NA;"F";"36";"C";"F";"";"";"";"A";"D"
54302;1;2012;32,9;"M";"28";"C";"B";"B";"A";"A";"A";"D"
54304;2;2015;42,8;"F";"24";"A";"G";"B";"A";"H";"";"A"
54310;1;2018;19,7;"M";"38";"E";"B";"D";"A";"H";"D";"B"
54325;1;2012;43,8;"F";"30";"";"E";"B";"A";"A";"A";"C"
54340;1;2015;39,7;"M";"29";"A";"A";"B";"E";"D";"";"B"
54437;18;2015;35,7;"F";"24";"C";"E";"A";"A";"B";"A";"E"
54441;2;2012;32,6;"M";"29";"";"F";"E";"E";"E";"";"B"
54446;2;2018;29,4;"F";"39";"D";"A";"C";"C";"";"A";"A"
54458;22;2015;NA;"F";"53";"A";"";"D";"E";"E";"A";"B"
54552;1;2012;18,9;"M";"21";"D";"A";"E";"E";"H";"A";"C"
54602;1;2015;35,4;"F";"28";"C";"C";"C";"C";"B";"A";"A"
54605;29;2018;NA;"F";"25";"";"C";"B";"C";"B";"A";"B"
54611;1;2012;19,7;"F";"32";"B";"C";"D";"E";"";"A";"D"
54612;1;2012;26,5;"M";"32";"B";"E";"D";"E";"";"D";"C"
54620;18;2012;31,8;"F";"23";"A";"E";"A";"A";"";"A";"C"
54622;2;2012;NA;"F";"35";"A";"D";"F";"A";"F";"A";"C"
54624;18;2018;51,1;"F";"37";"A";"D";"B";"";"B";"A";"D"
54656;1;2015;51,5;"M";"32";"";"C";"";"E";"B";"A";"B"
54668;1;2012;15,3;"F";"34";"A";"E";"B";"A";"";"A";"B"
54686;2;2012;42,6;"F";"25";"C";"F";"B";"D";"";"A";"B"
54688;2;2015;65,3;"M";"27";"A";"E";"";"B";"";"A";"C"
54694;1;2015;36,6;"F";"27";"A";"D";"B";"A";"B";"A";"C"
54735;18;2018;61,7;"M";"30";"D";"A";"F";"A";"G";"A";"E"
54737;804;2015;43,9;"F";"22";"";"B";"C";"E";"E";"A";""
54738;1;2015;NA;"F";"23";"D";"A";"C";"D";"";"A";"B"
54743;804;2012;42,1;"M";"26";"A";"D";"C";"E";"B";"A";"C"
54744;803;2012;47,6;"F";"39";"A";"F";"B";"E";"G";"A";"B"
54770;18;2015;32,2;"F";"24";"";"B";"B";"B";"E";"A";""
54794;803;2012;44,7;"M";"21";"C";"B";"B";"A";"F";"A";"C"
54795;2;2012;58;"M";"24";"A";"E";"A";"A";"";"F";"A"
54820;1;2012;NA;"F";"26";"";"C";"F";"E";"B";"";"B"
54822;1;2022;33,2;"F";"22";"A";"B";"F";"E";"";"A";"B"
54828;2;2012;32,9;"F";"29";"A";"A";"C";"E";"E";"C";"B"
54830;2;2022;NA;"F";"24";"";"";"";"";"C";"";"D"
54834;2;2012;47,4;"F";"26";"B";"B";"B";"E";"G";"E";""
54836;2;2015;57,6;"F";"34";"A";"E";"D";"E";"C";"A";"E"
54838;2;2022;22,6;"F";"52";"A";"B";"E";"E";"E";"A";"C"
54846;2;2018;48,8;"M";"42";"A";"C";"A";"E";"C";"A";"E"
54864;1;2015;43,3;"F";"23";"C";"A";"F";"E";"B";"A";"C"
54907;1;2012;NA;"M";"24";"B";"F";"D";"E";"";"A";"B"
54909;22;2015;46,1;"F";"27";"A";"E";"B";"E";"";"A";"B"
54928;1;2022;43,5;"M";"22";"A";"E";"C";"E";"B";"A";"C"
54938;2;2015;65,3;"M";"47";"C";"B";"A";"A";"F";"E";"B"
54971;2;2022;16,3;"F";"25";"A";"A";"C";"D";"E";"A";"D"
54977;22;2018;29,1;"F";"34";"B";"C";"";"D";"E";"C";"A"
54995;2;2022;31,3;"F";"29";"A";"A";"A";"A";"";"A";"B"
54997;2;2018;NA;"M";"22";"A";"";"";"A";"";"";""
55007;1;2018;52,4;"F";"28";"D";"C";"A";"E";"D";"A";"B"
55031;18;2015;41,1;"F";"28";"A";"E";"A";"B";"B";"D";"B"
55033;1;2012;NA;"F";"29";"";"";"";"";"";"";""
55047;804;2012;25,9;"F";"27";"A";"D";"C";"";"";"A";"A"
55100;2;2012;37,3;"F";"27";"C";"A";"F";"E";"F";"A";"C"
55109;18;2012;35,1;"F";"58";"C";"B";"C";"D";"";"A";"C"
55132;803;2012;66,9;"M";"22";"A";"G";"F";"A";"K";"A";""
55133;804;2012;NA;"F";"27";"A";"C";"B";"C";"J";"";"B"
55139;1;2015;37,2;"F";"23";"";"A";"C";"E";"E";"A";"B"
55195;1;2012;49,1;"M";"23";"A";"B";"";"";"A";"A";"C"
55224;803;2012;30,7;"M";"25";"B";"E";"A";"E";"";"A";"B"
55294;1;2015;35,1;"F";"32";"D";"";"B";"E";"";"";"C"
55382;29;2012;NA;"";"";"";"";"";"";"";"";""
55435;1;2012;57,8;"M";"37";"A";"B";"C";"E";"H";"A";"D"
55454;1;2018;NA;"F";"24";"A";"E";"";"A";"B";"A";"C"
55504;1;2015;NA;"M";"21";"A";"B";"B";"E";"E";"A";""
55514;22;2018;58,8;"F";"22";"";"E";"C";"E";"A";"A";"B"
55532;1;2015;42,6;"M";"21";"A";"D";"C";"E";"B";"";""
55559;86;2012;40,1;"F";"22";"A";"C";"B";"E";"B";"A";"B"
55567;94;2012;54,2;"M";"22";"A";"F";"D";"C";"A";"";"B"
55596;2;2012;NA;"M";"64";"B";"";"E";"A";"B";"A";"D"
55600;2;2015;35,1;"F";"32";"A";"E";"B";"A";"B";"A";""
55604;22;2012;47,3;"F";"21";"A";"A";"";"E";"B";"A";"C"
55632;22;2015;18,8;"F";"23";"C";"C";"B";"D";"";"";"B"
55761;2;2015;26,9;"M";"22";"A";"B";"B";"A";"E";"A";"B"
55765;2;2018;45,7;"F";"22";"A";"A";"D";"A";"D";"A";""
55767;2;2018;42,4;"F";"24";"A";"C";"D";"E";"";"A";"A"
55800;84;2012;NA;"F";"21";"C";"D";"B";"E";"F";"A";""
55806;1;2015;NA;"M";"24";"D";"F";"B";"";"E";"E";""
55828;803;2015;46,3;"F";"21";"";"B";"E";"";"A";"A";"B"
55830;804;2015;NA;"F";"21";"";"D";"C";"";"C";"";"B"
55846;29;2015;NA;"F";"21";"A";"B";"C";"";"";"A";"A"
55998;2;2012;50,7;"F";"35";"A";"E";"B";"B";"B";"";"C"
56010;1;2015;38,3;"F";"30";"C";"B";"E";"E";"A";"A";"B"
56022;1;2015;45,4;"F";"38";"";"C";"";"A";"I";"D";"D"
56034;1;2012;35,5;"M";"32";"A";"C";"E";"E";"F";"A";"C"
56040;22;2012;49,5;"M";"21";"A";"C";"B";"E";"G";"A";"B"
56058;1;2018;34,6;"M";"26";"D";"C";"D";"E";"E";"A";"A"
56069;22;2018;NA;"M";"32";"C";"A";"";"E";"E";"A";""
56071;1;2018;13,3;"M";"35";"A";"B";"";"";"E";"D";"B"
56160;2;2018;NA;"F";"31";"A";"";"B";"A";"E";"A";"C"
56163;22;2015;36,6;"M";"26";"D";"C";"D";"E";"";"A";"C"
56188;2;2015;71,2;"M";"37";"B";"F";"B";"A";"B";"A";"B"
56190;22;2012;41,4;"F";"21";"A";"B";"E";"E";"A";"A";"B"
56198;22;2012;18,8;"F";"38";"";"";"";"";"E";"C";"B"
56222;1;2015;54,6;"F";"42";"";"B";"A";"E";"C";"A";"B"
56316;2;2018;21,6;"M";"72";"B";"D";"A";"E";"B";"A";"E"
